Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
03/31/2021,01/01/2020,01/31/2020,United States,2020,1,264615,242901,3697,52633,8229,11113,6666,15527,4497,4889,2901,60861,14103,14965,2904,4034,1701,6480,7,6,,,,,
03/31/2021,02/01/2020,02/29/2020,United States,2020,2,244867,224315,3344,48769,7753,10440,6146,14262,4062,4505,2760,56814,12807,14446,2907,3649,1470,6361,17,15,,,,,
03/31/2021,03/01/2020,03/31/2020,United States,2020,3,269715,247616,3689,51654,8426,11370,7601,15273,4496,4731,3022,60178,13730,15388,2867,3938,1681,7190,7091,6713,,,,,
03/31/2021,04/01/2020,04/30/2020,United States,2020,4,322338,300812,3384,48769,9429,12304,5864,13769,4060,4478,3096,62295,13416,15397,2567,3454,1752,7812,65232,61738,,,,,
03/31/2021,05/01/2020,05/31/2020,United States,2020,5,280447,255574,3096,49005,8347,10701,3637,12061,3507,4127,2874,56527,12773,18044,3357,3748,2053,9267,38185,35140,,,,,
03/31/2021,06/01/2020,06/30/2020,United States,2020,6,250287,225572,3047,47957,7617,9950,3087,10929,3284,4011,2910,53527,12307,17551,4014,3963,2227,7973,17908,15742,,,,,
03/31/2021,07/01/2020,07/31/2020,United States,2020,7,278786,252704,3149,50614,8622,11011,3338,11666,3313,4266,3556,57084,13016,18469,4076,4133,2392,8224,30984,28160,,,,,
03/31/2021,08/01/2020,08/31/2020,United States,2020,8,277026,251437,3284,51189,8282,10961,3212,11508,3392,4239,3643,56111,13083,18273,4186,3986,2309,7890,29729,26909,,,,,
03/31/2021,09/01/2020,09/30/2020,United States,2020,9,256828,233116,3156,49642,7958,10456,3093,11052,3307,3990,3458,53724,12757,,,,,,19024,16760,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,10/01/2020,10/31/2020,United States,2020,10,271819,248412,3249,50896,8223,11001,3339,11510,3533,4215,4034,56329,13480,,,,,,24556,21784,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,11/01/2020,11/30/2020,United States,2020,11,298999,277109,3362,49081,8742,11505,3535,11863,3608,4377,4958,57316,13370,,,,,,52474,47417,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,12/01/2020,12/31/2020,United States,2020,12,354594,333586,3639,50198,9815,12790,4170,12569,3991,4565,6959,62657,14704,,,,,,94498,86388,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,01/01/2021,01/31/2021,United States,2021,1,351164,332967,3446,48962,9360,12107,4104,12010,3923,4923,10510,60231,14299,,,,,,98394,90109,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,02/01/2021,02/28/2021,United States,2021,2,252610,240329,2983,41972,7155,9164,3009,9727,3230,3913,12178,48595,11811,,,,,,43212,38288,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
03/31/2021,03/01/2021,03/27/2021,United States,2021,3,129963,125959,1523,24840,3695,5346,1643,5833,1882,2219,9237,26892,6870,,,,,,11990,10433,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
