state,name,address
Alabama,"Birmingham, AL","200 Summit Blvd. Suite 100, Birmingham, Alabama 35243"
Arizona,"Fashion Square, AZ",7014 E. Camelback Road
Arizona,"Kierland Commons, AZ",15030 N Scottsdale Road
Arizona,"Phoenix Uptown Plaza, AZ",100 E. Camelback Road
Arizona,Phoenix Sky Harbor International Airport,"Phoenix Sky Harbor International Airport, Terminal 3 near Gate F7, 3400 E Sky Harbor Blvd, Phoenix, AZ 85034"
Arizona,"SanTan Village, Gilbert, AZ","2024 E Williams Field Rd, Gilbert, AZ 85295, 480-561-4875"
California,"Burbank, CA",200 N. San Fernando Blvd.
California,"Century City, CA",Shake Shack – Century City
California,"Del Mar, CA","3705 Paseo Place, Suite 1140"
California,Downtown LA,"Shake Shack – Downtown LA, 400 West 8th Street, Los Angeles, CA 90014"
California,"El Segundo, CA","Shake Shack – El Segundo, 2171 Rosecrans Avenue, El Segundo, CA 90245"
California,"Glendale, CA",252 S. Brand Blvd.
California,"Hillsdale, San Mateo, CA","Shake Shack – Hillsdale, 33 Hillsdale Shopping Center, San Mateo, CA 94403, 650-398-1756"
California,"Hollywood, CA","6201 Hollywood Blvd, Los Angeles, CA 90028"
California,"Little Italy, San Diego, CA","2008 India Street, San Diego CA 92101, (619) 331-3958"
California,"Long Beach, CA","6440 E Pacific Coast Hwy, Suite 100,, Long Beach, CA 90803, 562-380-2090"
California,"Marin Country Mart, CA",1401 Larkspur Landing Circle
California,"Marina del Rey, CA","4786 Admiralty Way, Los Angeles, CA 90292, 213-618-3241"
California,"Mission Valley, CA","675 Camino De La Reina, San Diego, CA 92108"
California,"Stanford Shopping Center, CA","180 El Camino Real, Suite #950"
California,"Topanga, CA","6443 Topanga Canyon Blvd., Canoga Park, CA 91303, (747) 777-5816, "
California,"UTC San Diego, CA","4309 La Jolla Village Drive, Suite 2350, San Diego, CA 92122"
California,"Westlake Village, CA","120 Promenade Way, Suite A, Thousand Oaks, California 91362"
California,"West Hollywood, CA","8520 Santa Monica Boulevard, West Hollywood, CA 90069"
California,"Cow Hollow, San Francisco, CA","Shake Shack – Cow Hollow, 3060 Fillmore Street, San Francisco, CA 94123, 415-405-4618"
California,"Ice Blocks, Sacramento, CA","Shake Shack – Ice Blocks, 1710 R Street, Suite 190, Sacramento, CA 95811, (279) 321-4002"
California,"Valley Fair, Santa Clara, CA","2855 Stevens Creek Blvd, Suite 1748, Santa Clara, CA 95050"
Colorado,"Highlands Ranch, CO","1509 Park Central Drive Suite 100, Highlands Ranch, CO 80129"
Colorado,"RiNo Denver, CO","2995 Larimer Street, Denver, CO 80205"
Connecticut,"Darien, CT",1340 Post Road
Connecticut,"New Haven, CT",986 Chapel Street
Connecticut,"West Hartford, CT","1445 New Britain Ave, Unit # 1385, West Hartford, CT, 06110"
Connecticut,"Westport, CT",1849 Post Road East
Delaware,"Christiana, DE",2120 Fashion Center Blvd
Florida,"Aventura Mall, FL","Aventura Mall, 19565 Biscayne Blvd, Space FH5, Aventura, FL 33180"
Florida,"Boca Raton, FL",University Commons
Florida,"Coral Gables, FL",1450 South Dixie Highway (US1)
Florida,"Florida Mall, Orlando","8001 S. Orange Blossom Trail, 100A, Orlando, FL 32809, 407-627-1029"
Florida,"FLL Airport, FL","Gate D9, Fort Lauderdale-Hollywood International Airport, 100 Terminal Dr, Fort Lauderdale, FL 33315"
Florida,"Fort Lauderdale, FL","2400 N Federal Hwy, Fort Lauderdale, Florida 33305"
Florida,"Gardens Mall, Palm Beach Gardens, FL","3101 PGA Boulevard,, Suite L215, Palm Beach Gardens,, FL 33410, (561) 788-7008"
Florida,"International Drive, Orlando, FL",8359 International Drive
Florida,"Mary Brickell Village, Miami, FL","901 South Miami Ave. Suite 109,, Miami, FL 33130, 786-292-5777"
Florida,"Miami Beach, FL",1111 Lincoln Road
Florida,"Mall at Millenia, FL","4068 Conroy Rd, Orlando, FL 32839"
Florida,"Sarasota, FL","190 N Cattlemen Road, Unit 1, Sarasota, FL 34243, (941) 413-1351"
Florida,"Sawgrass Mills, Sunrise, FL",2606 Sawgrass Mills Circle
Florida,"The Falls, Miami, FL",8810 SW 136th Street
Florida,"Winter Park, FL",119 N Orlando Avenue
Georgia,"Hartsfield-Jackson Airport, Atlanta","Concourse A near Gate A28, 6000 N Terminal Pkwy, Atlanta, GA 30320"
Georgia,"Buckhead, GA",Buckhead Atlanta
Georgia,"Old Fourth Ward, Atlanta, GA","670 DeKalb Ave NE Suite 103,, Atlanta, GA 30312"
Georgia,"Perimeter Mall, GA",4400 Ashford Dunwoody Road 
Illinois,"Chicago Athletic Association, Chicago",12 S Michigan Ave
Illinois,"Oak Brook, IL","1950 Spring Road, Oak Brook, IL, 60523"
Illinois,"Old Orchard, Skokie","4999 Old Orchard Center, Space L28"
Illinois,"River North, Chicago",66 E. Ohio Street
Illinois,"Schaumburg, IL","1765 E. Golf Rd, "
Illinois,"Vernon Hills, IL","864 E. Townline Road,"
Illinois,"West Loop, Chicago","185 N. Morgan Street, Chicago, IL 60607, 312-800-8926"
Illinois,"Willis Tower, Chicago, IL","316 W. Jackson Blvd, Suite L1-20, "
Illinois,"Wrigleyville, IL","3519 North Clark St, Suite C105"
Kansas,"Leawood, KS","5200 W. 119th Street, "
Kentucky,"Lexington, KY","115 Summit at Fritz Farm, Suite 110, Lexington, KY 40517, 859.721.1295"
Louisiana,"Canal Place, New Orleans, LA","Shake Shack – Canal Place, 333 Canal Street, Space 1.21B, New Orleans, LA 70130, 504-677-8001"
Louisiana,"Metairie, Louisiana","Shake Shack – Metairie, 3501 Veterans Memorial,, Metairie, Louisiana 70002, (504) 380-0279"
Louisiana,"MSY Airport, LA","6AM – 9PM, Daily"
Maryland,"Cabin John, Potomac, MD","7997 Tuckerman Lane, Potomac, Maryland 20854"
Maryland,"Inner Harbor, Baltimore",400 E. Pratt Street
Maryland,"Mall in Columbia, MD","10300 Little Patuxent Pkwy, Suite 3040, Columbia, MD 21044"
Maryland,"M&T Bank Stadium, Baltimore","M&T Bank Stadium, 1101 Russell St., Baltimore, MD 21230"
Maryland,"MGM National Harbor, MD",101 MGM National Avenue
Massachusetts,"Arsenal Yards, Watertown, MA","Shake Shack – Arsenal Yards, 106 Arsenal Yards Blvd, Watertown, MA 02472, 617-505-4716"
Massachusetts,"Boston Seaport, Boston, MA",77 Seaport Blvd
Massachusetts,"Chestnut Hill, MA",THE STREET
Massachusetts,"Dedham, MA",226 Legacy Place
Massachusetts,"Downtown Crossing, Boston, MA","322 Washington St, "
Massachusetts,"Harvard Square, MA",Harvard Square
Massachusetts,"Newbury Street, Boston, MA",234-236 Newbury Street
Michigan,"Ann Arbor, MI","Shake Shack – Ann Arbor, 3030 Washtenaw Ave #107,, Ann Arbor, Michigan 48104, (734) 412-4762"
Michigan,"Downtown Detroit, MI",Shake Shack – Downtown Detroit
Michigan,"Somerset Collection, MI","Shake Shack – Somerset Collection, 2800 W Big Beaver Rd. Suite X-335,, Troy, Michigan 48084, 947.209.4240"
Michigan,"Troy, MI","850 West Big Beaver Road, Troy, Michigan 48084, 248.817.1529"
Minnesota,"Mall of America, MN",332 North Garden
Minnesota,"MSP Airport, MN","4300 Glumack Drive, St. Paul, MN 55111, Terminal 1 Mall Food Court, 612-726-5360"
Minnesota,"Southdale, MN","6603 France Ave S., Edina, MN 55435"
Missouri,"Central West End, MO","60 North Euclid, St. Louis, MO 63108, 314.627.5518"
Missouri,"Country Club Plaza, Kansas City, MO","239 West 47th Street, Kansas City, MO 64112"
Missouri,"Ladue Crossing, Saint Louis, MO","Shake Shack – Ladue Crossing, 8885 Ladue Rd, Suite H, Saint Louis, MO 63124, (314) 582-6352, "
Nevada,"Henderson, NV","2225 Village Walk Drive, Suite 191, Henderson, NV 89052"
Nevada,"LAS Airport, NV",McCarran International Airport
Nevada,"MGM NY NY, Las Vegas, NV","3790 S Las Vegas Blvd, Las Vegas, NV 89109"
Nevada,"Las Vegas N. Premium Outlets, NV","905 South Grand Central Parkway, Suite 1700, Las Vegas, Nevada 89106, (702) 570-1613"
Nevada,"Summerlin, NV","10975 Oval Park Drive, Dining Arroyo, Las Vegas, NV 89135"
Nevada,"T-Mobile Arena, Nevada, Las Vegas",3780 S Las Vegas Blvd
New Jersey,"Bridgewater, NJ",610 Commons Way
New Jersey,"Cherry Hill, NJ","795 Haddonfield Road, "
New Jersey,"Eatontown, NJ","180 NJ-35 South, Space OP05, "
New Jersey,"Garden State Plaza, NJ","1 Garden State Plaza, Plaza Level 2"
New Jersey,"Livingston, NJ","280 Eisenhower Parkway, Livingston, NJ 07039, 973-629-8329"
New Jersey,"Marlton, NJ","Marlton Commons, 321 Route 70 West, Marlton, NJ 08053"
New Jersey,"Monmouth Travel Plaza, NJ","Monmouth Travel Plaza, Garden State Parkway Mile Marker 100, Wall Township, NJ 07719"
New Jersey,"Paramus, NJ",479 Route 17 South
